PMID            | GT    | Pred  | TP   
28448263        | 31    | 6     | 2    
28450196        | 49    | 7     | 4    
28451941        | 63    | 6     | 0    
28454015        | 56    | 18    | 0    
28456611        | 52    | 5     | 3    
28456751        | 46    | 7     | 1    
28457334        | 70    | 12    | 2    
28459029        | 69    | 16    | 2    
28459124        | 57    | 21    | 2    
28460054        | 75    | 14    | 3    
28461000        | 17    | 7     | 3    
28463704        | 42    | 5     | 1    
28464907        | 44    | 17    | 3    
28466814        | 75    | 17    | 1    
28467858        | 47    | 14    | 1    
28468980        | 42    | 10    | 2    
28469263        | 67    | 9     | 2    
28470100        | 45    | 9     | 0    
28471040        | 50    | 14    | 1    
28471296        | 31    | 6     | 0    
28471656        | 52    | 9     | 1    
28472521        | 19    | 7     | 0    
28473083        | 84    | 24    | 3    
28476060        | 78    | 10    | 3    
28476508        | 56    | 12    | 1    
28477843        | 50    | 4     | 1    
28478603        | 40    | 6     | 0    
28478636        | 46    | 5     | 0    
28479312        | 21    | 5     | 2    
28480148        | 51    | 9     | 0    
28480413        | 97    | 12    | 1    
28481342        | 42    | 11    | 3    
28484550        | 29    | 8     | 1    
28487667        | 72    | 2     | 0    
28493435        | 26    | 5     | 0    
28494223        | 28    | 3     | 0    
28494350        | 46    | 8     | 0    
28495651        | 52    | 10    | 0    
28495934        | 44    | 10    | 0    
28499120        | 76    | 5     | 0    
28501028        | 82    | 19    | 5    
28501699        | 34    | 3     | 1    
28502652        | 74    | 7     | 0    
28503387        | 51    | 11    | 5    
28505177        | 56    | 7     | 1    
28508329        | 43    | 7     | 3    
28512014        | 55    | 13    | 5    
28518001        | 49    | 6     | 1    
28520994        | 52    | 15    | 3    
28521168        | 77    | 23    | 6    
28522288        | 40    | 13    | 2    
28523425        | 78    | 7     | 3    
28523479        | 61    | 21    | 5    
28523846        | 50    | 13    | 9    
28525754        | 58    | 7     | 3    
28526360        | 51    | 5     | 1    
28527954        | 71    | 12    | 5    
28528555        | 38    | 9     | 0    
28532359        | 29    | 2     | 1    
28533788        | 41    | 8     | 0    
28539192        | 43    | 8     | 0    
28540429        | 66    | 30    | 12   
28541679        | 43    | 19    | 2    
28545365        | 44    | 8     | 5    
28550165        | 103   | 14    | 10   

==============================
CORRECTED NER RESULTS
==============================
Total True Positives:  1693
Total False Positives: 7676
Total False Negatives: 47627
------------------------------
Precision: 0.1807
Recall:    0.0343
F1 Score:  0.0577
==============================
