PMID            | GT    | Pred  | TP   
27503306        | 79    | 12    | 2    
27503899        | 70    | 3     | 0    
27503926        | 68    | 13    | 3    
27506129        | 46    | 3     | 1    
27506220        | 60    | 13    | 1    
27507702        | 81    | 16    | 0    
27509301        | 50    | 15    | 0    
27510000        | 68    | 7     | 2    
27510458        | 52    | 8     | 0    
27511456        | 83    | 10    | 3    
27513357        | 90    | 14    | 2    
27515404        | 84    | 9     | 0    
27515772        | 41    | 8     | 2    
27516747        | 74    | 12    | 1    
27518527        | 70    | 19    | 8    
27524208        | 37    | 9     | 0    
27524790        | 67    | 8     | 0    
27525173        | 46    | 8     | 3    
27525549        | 58    | 9     | 1    
27526663        | 71    | 9     | 3    
27529135        | 28    | 6     | 2    
27530053        | 26    | 3     | 1    
27532007        | 72    | 11    | 0    
27533401        | 9     | 5     | 0    
27534399        | 60    | 8     | 0    
27534734        | 76    | 3     | 2    
27535586        | 37    | 5     | 0    
27536475        | 33    | 12    | 3    
27538372        | 49    | 12    | 0    
27539945        | 68    | 13    | 6    
27540024        | 40    | 4     | 0    
27540584        | 51    | 9     | 0    
27542380        | 55    | 8     | 3    
27545500        | 49    | 9     | 6    
27546367        | 68    | 13    | 3    
27548715        | 66    | 11    | 3    
27549420        | 61    | 13    | 0    
27551992        | 48    | 12    | 0    
27552906        | 95    | 9     | 1    
27553395        | 29    | 14    | 1    
27553875        | 48    | 11    | 1    
27555752        | 64    | 11    | 0    
27555898        | 42    | 11    | 0    
27563025        | 48    | 7     | 0    
27569827        | 43    | 11    | 0    
27570140        | 55    | 10    | 1    
27572277        | 56    | 15    | 0    
27576608        | 63    | 17    | 5    
27580517        | 40    | 9     | 0    
27580908        | 82    | 5     | 0    
27583176        | 60    | 7     | 0    
27587730        | 41    | 8     | 1    
27590047        | 62    | 6     | 1    
27593786        | 50    | 9     | 1    
27595710        | 36    | 4     | 1    
27598262        | 46    | 7     | 2    
27598388        | 71    | 8     | 1    
27599942        | 70    | 12    | 4    
27600888        | 70    | 13    | 4    
27601111        | 32    | 4     | 0    
27601238        | 49    | 9     | 1    
27601292        | 56    | 8     | 0    
27601594        | 66    | 17    | 2    
27602300        | 77    | 18    | 0    
27603112        | 71    | 12    | 3    
27604152        | 76    | 30    | 5    
27606547        | 16    | 3     | 0    
27607871        | 31    | 7     | 2    
27608421        | 83    | 14    | 1    
27608968        | 29    | 10    | 3    
27609556        | 71    | 6     | 1    
27609916        | 15    | 5     | 0    
27611704        | 37    | 8     | 1    
27612561        | 95    | 11    | 0    
27614652        | 52    | 8     | 0    
27616047        | 51    | 9     | 4    
27616751        | 41    | 10    | 0    
27617108        | 102   | 19    | 1    
27617315        | 48    | 16    | 7    
27621200        | 52    | 13    | 0    
27622027        | 97    | 20    | 7    
27622771        | 68    | 6     | 0    
27623277        | 53    | 9     | 3    
27629431        | 70    | 9     | 5    
27631550        | 74    | 12    | 2    
27633344        | 59    | 13    | 1    
27634305        | 46    | 12    | 3    
27635073        | 71    | 13    | 2    
27636509        | 54    | 8     | 2    
27637577        | 69    | 14    | 5    
27642330        | 64    | 14    | 1    
27643901        | 15    | 4     | 1    
27645371        | 36    | 4     | 1    
27645763        | 46    | 8     | 0    
27647760        | 73    | 15    | 4    
27648525        | 44    | 7     | 3    
27649824        | 55    | 5     | 0    
27650225        | 82    | 19    | 2    
27650462        | 44    | 9     | 1    
27651955        | 40    | 6     | 1    
27651975        | 55    | 5     | 1    
27652926        | 65    | 8     | 0    
27653010        | 85    | 12    | 3    
27655308        | 58    | 9     | 0    
27655319        | 49    | 8     | 1    
27659183        | 60    | 10    | 1    
27659547        | 39    | 8     | 1    
27659602        | 76    | 10    | 1    
27660194        | 57    | 18    | 2    
27660632        | 74    | 13    | 1    
27667559        | 66    | 9     | 2    
