PMID            | GT    | Pred  | TP   
28440108        | 53    | 13    | 3    
28440461        | 70    | 21    | 4    
28441489        | 93    | 18    | 1    
28442401        | 57    | 10    | 8    
28442859        | 40    | 12    | 2    
28444830        | 46    | 17    | 13   
28445938        | 64    | 20    | 5    
28447586        | 28    | 7     | 3    
28448263        | 31    | 7     | 2    
28450196        | 49    | 10    | 3    
28451941        | 63    | 8     | 0    
28454015        | 56    | 19    | 0    
28456611        | 52    | 11    | 1    
28456751        | 46    | 9     | 2    
28457334        | 70    | 16    | 6    
28459029        | 69    | 22    | 1    
28459124        | 57    | 31    | 3    
28460054        | 75    | 18    | 0    
28461000        | 17    | 8     | 5    
28463704        | 42    | 15    | 1    
28464907        | 44    | 19    | 3    
28466814        | 75    | 20    | 4    
28467858        | 47    | 13    | 8    
28468980        | 42    | 14    | 8    
28469263        | 67    | 12    | 5    
28470100        | 45    | 11    | 2    
28471040        | 50    | 15    | 3    
28471296        | 31    | 6     | 1    
28471656        | 52    | 19    | 2    
28472521        | 19    | 7     | 0    
28473083        | 84    | 24    | 8    
28476060        | 78    | 14    | 2    
28476508        | 56    | 14    | 2    
28477843        | 50    | 5     | 0    
28478603        | 40    | 11    | 0    
28478636        | 46    | 13    | 0    
28479312        | 21    | 4     | 2    
28480148        | 51    | 17    | 0    
28480413        | 97    | 13    | 1    
28481342        | 42    | 16    | 2    
28484550        | 29    | 9     | 2    
28487667        | 72    | 8     | 0    
28493435        | 26    | 7     | 0    
28494223        | 28    | 7     | 1    
28494350        | 46    | 9     | 5    
28495651        | 52    | 13    | 0    
28495934        | 44    | 13    | 0    
28499120        | 76    | 23    | 0    
28501028        | 82    | 20    | 7    
28501699        | 34    | 7     | 1    
28502652        | 74    | 12    | 5    
28503387        | 51    | 16    | 7    
28505177        | 56    | 10    | 2    
28508329        | 43    | 10    | 4    
28512014        | 55    | 15    | 4    
28518001        | 49    | 8     | 2    
28520994        | 52    | 15    | 1    
28521168        | 77    | 26    | 6    
28522288        | 40    | 8     | 3    
28523425        | 78    | 6     | 2    
28523479        | 61    | 19    | 6    
28523846        | 50    | 14    | 9    
28525754        | 58    | 7     | 2    
28526360        | 51    | 9     | 1    
28527954        | 71    | 15    | 4    
28528555        | 38    | 12    | 1    
28532359        | 29    | 3     | 0    
28533788        | 41    | 7     | 2    
28539192        | 43    | 12    | 1    
28540429        | 66    | 23    | 17   
28541679        | 43    | 21    | 0    
28545365        | 44    | 17    | 6    
28550165        | 103   | 28    | 15   

==============================
CORRECTED NER RESULTS
==============================
Total True Positives:  2429
Total False Positives: 9474
Total False Negatives: 46891
------------------------------
Precision: 0.2041
Recall:    0.0492
F1 Score:  0.0793
==============================
