PMID            | GT    | Pred  | TP   
27503306        | 79    | 16    | 2    
27503899        | 70    | 14    | 0    
27503926        | 68    | 14    | 4    
27506129        | 46    | 5     | 2    
27506220        | 60    | 14    | 4    
27507702        | 81    | 26    | 9    
27509301        | 50    | 17    | 0    
27510000        | 68    | 10    | 2    
27510458        | 52    | 12    | 6    
27511456        | 83    | 20    | 6    
27513357        | 90    | 14    | 2    
27515404        | 84    | 17    | 1    
27515772        | 41    | 11    | 2    
27516747        | 74    | 13    | 1    
27518527        | 70    | 23    | 4    
27524208        | 37    | 10    | 0    
27524790        | 67    | 12    | 1    
27525173        | 46    | 13    | 3    
27525549        | 58    | 13    | 0    
27526663        | 71    | 16    | 2    
27529135        | 28    | 4     | 1    
27530053        | 26    | 0     | 0    
27532007        | 72    | 14    | 1    
27533401        | 9     | 4     | 0    
27534399        | 60    | 16    | 2    
27534734        | 76    | 10    | 3    
27535586        | 37    | 13    | 3    
27536475        | 33    | 10    | 3    
27538372        | 49    | 14    | 1    
27539945        | 68    | 12    | 4    
27540024        | 40    | 9     | 0    
27540584        | 51    | 12    | 5    
27542380        | 55    | 16    | 4    
27545500        | 49    | 11    | 1    
27546367        | 68    | 14    | 4    
27548715        | 66    | 10    | 3    
27549420        | 61    | 14    | 0    
27551992        | 48    | 18    | 1    
27552906        | 95    | 11    | 6    
27553395        | 29    | 12    | 1    
27553875        | 48    | 8     | 1    
27555752        | 64    | 11    | 0    
27555898        | 42    | 10    | 0    
27563025        | 48    | 9     | 2    
27569827        | 43    | 18    | 0    
27570140        | 55    | 20    | 1    
27572277        | 56    | 23    | 0    
27576608        | 63    | 19    | 8    
27580517        | 40    | 10    | 3    
27580908        | 82    | 7     | 0    
27583176        | 60    | 13    | 0    
27587730        | 41    | 8     | 0    
27590047        | 62    | 10    | 1    
27593786        | 50    | 7     | 3    
27595710        | 36    | 14    | 3    
27598262        | 46    | 9     | 3    
27598388        | 71    | 9     | 1    
27599942        | 70    | 16    | 2    
27600888        | 70    | 11    | 4    
27601111        | 32    | 7     | 0    
